Date,GDP,CPI
1928-01-01,0,0
1928-02-01,0,0
1928-03-01,0,0
1928-04-01,0,0
1928-05-01,0,0
1928-06-01,0,0
1928-07-01,0,0
1928-08-01,0,0
1928-09-01,0,0
1928-10-01,0,0
1928-11-01,0,0
1928-12-01,0,0
1929-01-01,0,0
1929-02-01,0,0
1929-03-01,0,0
1929-04-01,0.353599397,-0.019709001
1929-05-01,0.342634362,-0.025446038
1929-06-01,0.353928206,-0.012269446
1929-07-01,0.28517205,-0.007184623
1929-08-01,0.362926622,-0.006789354
1929-09-01,0.416432758,0.002246603
1929-10-01,0.495439775,0.000454997
1929-11-01,0.366453049,0.005868421
1929-12-01,0.142180052,0.018581581
1930-01-01,-0.02105035,0.046288653
1930-02-01,-0.047675045,0.051273007
1930-03-01,-0.026120715,0.050501469
1930-04-01,-0.029816714,0.056210261
1930-05-01,0.022782227,0.070476805
1930-06-01,-0.038352219,0.066460468
1930-07-01,-0.082121393,0.075120366
1930-08-01,-0.222687673,0.084344346
1930-09-01,-0.201729467,0.086389775
1930-10-01,-0.196829676,0.084527964
1930-11-01,-0.278079189,0.084599756
1930-12-01,-0.331976752,0.085058844
1931-01-01,-0.352096665,0.085272795
1931-02-01,-0.411837321,0.079761547
1931-03-01,-0.346505298,0.072274533
1931-04-01,-0.280651419,0.053907695
1931-05-01,-0.312297636,0.046098306
1931-06-01,-0.359064771,0.036743431
1931-07-01,-0.446732524,0.036090827
1931-08-01,-0.334760757,0.03107935
1931-09-01,-0.387365471,0.021265635
1931-10-01,-0.371666749,0.010017082
1931-11-01,-0.531215393,-0.004174034
1931-12-01,-0.48558781,-0.042908442
1932-01-01,-0.534544011,-0.048150309
1932-02-01,-0.590741954,-0.077229503
1932-03-01,-0.56228654,-0.094543166
1932-04-01,-0.529445897,-0.075927487
1932-05-01,-0.572707965,-0.05387
1932-06-01,-0.639065198,-0.026737465
1932-07-01,-0.713912612,-0.02349599
1932-08-01,-0.696630382,-0.012590597
1932-09-01,-0.546550466,0.016451111
1932-10-01,-0.306100166,0.042041135
1932-11-01,-0.304095173,0.061442034
1932-12-01,-0.368825357,0.079434707
1933-01-01,-0.369076409,0.094512522
1933-02-01,-0.317893407,0.118222378
1933-03-01,-0.213543088,0.134942711
1933-04-01,-0.274522973,0.130076918
1933-05-01,-0.122234923,0.121809123
1933-06-01,0.324581431,0.120330379
1933-07-01,0.686369032,0.123860762
1933-08-01,0.920710769,0.1230522
